0.013636	0.013258	0.0084091	0.0069697	0.0055303	0.0033333	0.004697	0.0053788	0.0040152	0.0029545	0.0092424
0.011364	0.012197	0.01303	0.010606	0.0078788	0.0059848	0.0039394	0.0034091	0.0037121	0.0034091	0.0088636
0.0085606	0.010682	0.019091	0.019545	0.016515	0.0084091	0.0060606	0.0049242	0.0037879	0.0042424	0.0125
0.0068939	0.010152	0.018561	0.032576	0.025303	0.010379	0.0056061	0.0057576	0.0048485	0.0056061	0.012652
0.0051515	0.0069697	0.011591	0.023712	0.030152	0.018409	0.0096212	0.0043939	0.0046212	0.0043182	0.011818
0.004697	0.0048485	0.0073485	0.0092424	0.01947	0.01697	0.0125	0.0052273	0.0040152	0.002803	0.0092424
0.0047727	0.0044697	0.0063636	0.0071212	0.0084091	0.013409	0.012273	0.0062879	0.0036364	0.0037879	0.0093182
0.0031061	0.0037879	0.0055303	0.007197	0.0059091	0.0070455	0.0059091	0.0049242	0.0031061	0.002803	0.0088636
0.0037879	0.0039394	0.0039394	0.0053788	0.0040152	0.0020455	0.0037879	0.0035606	0.0033333	0.0034848	0.0078788
0.0036364	0.0025	0.0040152	0.0040909	0.0027273	0.0031061	0.0047727	0.0037121	0.0032576	0.0022727	0.0080303
0.0083333	0.0088636	0.014924	0.015	0.011515	0.0090152	0.0095455	0.0093939	0.0061364	0.0064394	0.033939
