0.070909	0.031364	0.030455	0.025152	0.024848	0.029091	0.029091	0	0	0	0
0.035758	0	0	0	0.00045455	0.00090909	0.0013636	0.028636	0	0	0
0.030152	0	0	0	0	0	0	0.0018182	0.028636	0	0
0.030455	0	0	0.005	0	0	0	0	0.0010606	0.019091	0
0.029545	0.00045455	0	0	0	0	0	0	0.00030303	0.00075758	0.024242
0.029545	0.00090909	0	0	0	0	0	0	0	0.00090909	0.029091
0.014545	0.010152	0.00030303	0	0	0	0	0	0	0.00090909	0.029545
0	0.010152	0.00075758	0	0	0	0	0	0	0	0.030455
0	0.014091	0.029091	0.0018182	0	0	0	0	0	0	0.03
0	0	0	0.028636	0.0013636	0.00090909	0.0056061	0	0	0.00075758	0.020909
0	0	0	0	0.028636	0.029545	0.019394	0.010909	0.045	0.030758	0.065758
